"Opportunity Name","Opportunity Type","Description","Organization","Grade Level","Financial Aid","State","Cost","Start Date","End Date","Deadline Date","Contact First Name","Contact Last Name","Contact Phone Number","Contact Email","Application URL","Opportunity Category","GPA","Race","Gender","Major","Recommendation","Essay","Renewable","Scholarship Amount"
"Future Latino Leaders Summer Law Institute","Summer Opportunity ","The Future Latino Leaders Law Camp is a nine-day program run by the HNBF in Washington, DC and provides selected Latino high school students with the opportunity to learn more about the legal profession. Established by the HNBF in 2005, the Law Camp offers students the chance to come to DC and learn more about the college application process, meet influential Latino leaders, and tour national monuments and various government agencies.
 

 The Law Camp is offered cost-free! However, there is a non-refundable application fee of $50 (fee waivers are granted based on financial need) and students are responsible for arranging their own transportation to and from DC (scholarships are available based on financial need). The HNBF is committed to working with accepted applicants and their families to ensure their ability to attend. Please do not allow the cost of transportation deter you from applying.
 

 This is a fantastic opportunity for Latino high school students who are interested in law to travel to Washington and connect with their peers from across the country as well as meet other successful Latinos.","American University","9,10,11,12","Free","District of Columbia (D.C.)","$0.00","7/11/2021","7/19/2021","3/15/2021","Hispanic","Association","(786) 310-2749","info@hnbf.org","http://apply.hnbf.org/","Law Government and Social Studies","","","","","","","",""
"SOARing with Mathematics","Summer Opportunity ","SOARing with Mathematics
 The priority Deadline for Applications is March 31, 2017. Applications will still be accepted after this date provided space is available. Please also note that this is a non-residential camp, so no housing accommodations will be provided. 
 The 2017 Flyer and Application will be posted as soon as they are approved. They will be the same as the 2016 versions here, but with the new dates for 2017. Download the SOAR 2016 Flyer and Application.","Austin Peay State University","10,11,12","Free","Tennessee","$0.00","5/27/2021","5/29/2021","4/3/2021","Andrew","Wilson","","wilsona@apsu.edu","https://www.apsu.edu/mathematics/soar.php","Technology Math and Engineering","","","","","","","",""
"Caminos al Futuro","Summer Opportunity ","This is a full scholarship summer program that engages high-achieving juniors (rising seniors) from U.S. high schools in a residential academic leadership development program at the George Washington University. This program is part of the Cisneros Hispanic Leadership Institute sponsored by GW alumnus Gilbert Cisneros and his wife, Jacki. Caminos al Futuro seeks to cultivate leadership potential and scholarship in students who desire to shape issues impacting Hispanic and Latino communities. Program costs including academic coursework and materials, roundtrip transportation, room, board and program activities are covered for selected candidates.","George Washington University","12","Yes","District of Columbia (D.C.)","$0.00","6/28/2021","7/17/2021","3/7/2021","GW","Caminos","","gwcaminos@gwu.edu.","https://summer.gwu.edu/caminos","Law Government and Social Studies","","","","","","","",""
"Math and Science Academy","Summer Opportunity ","","Langston University","10,11,12","Free","Oklahoma","$0.00","5/31/2021","6/13/2021","4/20/2021","Alonzo","Peterson","(405) 466-3341 ","afpeterson@langston.edu ","https://www.langston.edu/math-and-science-academy","Technology Math and Engineering","","","","","","","",""
"Carl B. & Florence E. King Foundation High School Summer Program in Biomedical Sciences","Summer Opportunity ","High School Summer Program - Summer Science Programs
 Join our program for graduating high school seniors interested in health professions.
 The Carl B. & Florence E. King Foundation sponsors a High School Summer Program in Biomedical Sciences at the School of Health Professions. This seven-week exploratory program is for college-bound students that have recently graduated from a Texas high school.
 For seven weeks, participants will interact with School of Health Professions faculty five days a week, from 9 a.m. to 5 p.m. in state-of-the art School of Health Professions facilities, located within The University of Texas MD Anderson Cancer Center. The program offers hands-on experiences in college-level molecular, cellular, and microbiological laboratory techniques, as well as in-depth workshops in Medical Dosimetry, Radiation Therapy and Diagnostic Imaging
 Throughout the program, participants will become aware of the variety of professional and graduate academic career paths associated with the nine Bachelor of Science programs in the School of Health Professions.
 Participants will have the opportunity to tour MD Anderson and other Texas Medical Center facilities. Also, participants are welcome to attend the MD Anderson Summer Experience College Program Lecture Series. At the conclusion of the program, participants will share their experiences during a celebration luncheon.л_ л_Participants will approach their upcoming college term with an increased awareness and confidence in health professions career fields.
 To qualify for the program, students must have completed their senior year at a Texas high school prior to the start of the program. This is a competitive program and a review committee will evaluate each application for a demonstration of scientific aptitude, a record of academic achievement, and an interest in pursuing an undergraduate or graduate career in a professional health care field.
 Participants in the program will receive a stipend for the seven-week period. This stipend is not a salary and is meant solely to subsidize cost of living expenses for students so that they may participate in the program. The stipend is considered income and subject to all applicable taxes and fees.
 For participants whose permanent residence is more than a 20-mile distance from the School of Health Professions (The University of Texas MD Anderson Cancer Center, 1515 Holcombe Blvd., Houston, TX 77030), the Summer Program will consider providing dormitory housing at nearby Rice University.","Maryland Anderson Cancer Center","12","Free","Texas","$0.00","6/8/2021","7/24/2021","1/16/2021","Dr.","Trevino","","RATrevino1@mdanderson.edu","http://www.mdanderson.org/education-and-research/education-and-training/schools-and-programs/summer-science-programs/high-school-program/high-school-summer-program.html","Science Health and Medicine","","","","","","","",""
"Stephen F. Austin State University Summer PreMed Camp","Summer Opportunity ","Earning high grades and performing well on the Medical College Admission Test (MCAT) is only a part of what will allow a student to become a successful applicant for Medical School. In the competitive environment of the medical school application process, becoming that exceptional applicant also requires professional experience, effective leadership and demonstrated service. Thus, the summer Pre Med camp cosponsored by SFA and JAMP 2017, is meant to be a week of total immersion in and an introduction to what we refer to as the Pre Med ""Lifestyle"". This ""head-start"" will give camp attendees the opportunity to preview the course requirements, the time constraints and the journey toward excellence that Pre Med students encounter on the very first day of their freshman year.","Stephen F. Austin State University","11","Free","Texas","$0.00","7/9/2021","7/16/2021","5/1/2021","SFA","Pre-Health","936.468.3401","sfaphp@sfasu.edu","http://www.sfasu.edu/prehealth/122.asp","Science Health and Medicine","","","","","","","",""
"American Legion Auxiliary Bluebonnet Girls State","Summer Opportunity ","The Girls State program in Texas has been one of constant improvement and growth. The number of participants has grown from 94 to over 500. The progress of Girls State in Texas could not have been accomplished if it had not been for the pioneers of Bluebonnet Girls State; the full cooperation and encouragement of the Department Presidents of the American Legion Auxiliary; former directors, members and chairmen of the Girls State Committee; the press, radio and television; school and state officials; interested individuals; most of all the local units who sponsor girls; and last but not least, the citizens.
 

 One of Girls State’s most influential pioneers was Frances Goff who began working with Girls State in 1947. She used her considerable experience in state government to shape the program as Director from 1952 until 1994.
 

 During past sessions of Girls State, citizens have been privileged to hear many outstanding speakers including: then Governor George W. Bush, former Presidents George Bush and Lyndon Baines Johnson, First Lady Mrs. Lyndon B. Johnson and Miss Barbara Jordan. Former Girls State citizens Gov. Ann W. Richards, Comptroller Carole Keeton Strayhorn, Judge Bea Ann Smith and others have also returned to the program as guest speakers.
 

 The Girls State Committee is the policy-making body of Girls State. The four members are appointed by the President of the American Legion Auxiliary from its membership. The Department President and the committee select the Director who is responsible for the administration of the policies set forth by the committee. Girls State requires an operating budget of approximately $200,000. Counselors and staff members are unpaid volunteers.","Texas Lutheran University","10,11,12","Free","Texas","$0.00","6/16/2021","6/22/2021","5/1/2021","Texas","Bluebonnet","","2020texasgirlsstate@gmail.com","http://girls-state.org/?page_id=54","Arts Design and Communication","","","","","","","",""
"AgriTREK/SciTREK Summer Program","Summer Opportunity ","Animal Health
 APHIS works in a variety of ways to protect and improve the health, quality, and marketability of our nation's animals (including various wildlife), animal products, and veterinary biologics. This subject area describes many of the diseases facing animals today, as well the steps APHIS is taking to prevent, control, and eliminate those conditions.","University of Arkansas Pine Bluff","9,10,11,12","Free","Arkansas","$0.00","6/6/2021","6/21/2021","3/20/2021","Tiffani","Williams","334-727-8453","twilliams1@tuskegee.edu","https://www.tuskegee.edu/programs-courses/colleges-schools/caens/conferences-workshops/agritrekscitrek","Technology Math and Engineering","","","","","","","",""
"Adelante Family Scholars","Summer Opportunity ","Students selected for the program will receive a full scholarship, including course tuition, housing and dining, residential and student life fees, and the cost of travel to and from campus.
 I am so grateful for this experience. The Neubauer Family Adelante Summer Scholars program truly changed my life for the better. I feel so prepared to go out into my community and the world and make a real difference.
 This was one of the most amazing experiences of my life. I found value in everything I did and learned: becoming accustomed to the college lifestyle, doing college level work, developing life-long (hopefully) friendships, learning to navigate public transportation, exploring Chicago, learning more about the college application process. This was an experience that I will treasure forever.
 The sense of community that college brings. The other students in the Neubauer Family Adelante Summer Scholars program honestly became like a family to me - there was always someone to spend time with in the lounge, always someone ready to get a shake at Medici's with you, always a group ready to go to salsa. I thought college was more isolating than high school, but it really is not. Here at UChicago I felt closer to my fellow Neubauers then most of my peers back at home. I love the sense of community on campus.
 The most important thing that I am coming away with is that I am beyond excited to go to college and major in the sciences. I was passionate before, but UChicago has only impassioned me more. I can't wait to delve into new ideas and concepts and get a new perspective on the world. Liberal arts college is definitely for me. I have a lot of interests and I want to satisfy all of them; however, I am not sure that my curiosity will ever be satiated.
 The most important thing I can take away from this program is the adventurous spirit I cultivated. Whether it was making a bold comment in class discussion or going on a downtown Chicago adventure or dancing full out in a salsa class, I definitely got out of my comfort zone at UChicago.","University of Chicago","12","Free","Illinois","$0.00","6/20/2021","7/10/2021","2/26/2021","Alejandra","Campos","","acampos93@UCHICAGO.EDU","http://summer.uchicago.edu/high-school/neubauer-summer-scholars","Law Government and Social Studies","","","","","","","",""
"EXPLORE Energy and Sustainability Summer Business Camp","Summer Opportunity ","Will we run out of oil and what will replace it? Natural gas, nuclear, solar, or wind? How do we run our cars, businesses, and homes and still have a clean environment and avoid dramatic climate changes? These are just a few of the questions you will explore with the University of Houston Bauer College faculty and industry experts.","University of Houston","10,11,12","Free","Texas","$0.00","6/21/2021","6/26/2021","3/31/2021","Bauer","Business","","bba@uh.edu","https://www.bauer.uh.edu/undergraduate/summercamp/","Leadership Business and Finance","","","","","","","",""
