"Opportunity Name","Opportunity Type","Organization","Contact First Name","Contact Last Name","Contact Phone Number","Contact Email","Application URL","Description","Renewable","Deadline Date","Scholarship Amount","Gender","Race","Essay","Recommendation","Major","GPA","Grade Level","Financial Aid","State","Cost","Start Date","End Date","Opportunity Category"
"SolidEssay Scholarship Essay Contest","Scholarship ","Solid Essay","Solid","Essay","","solidessay@gmail.com","https://www.solidessay.com/essay-contest/","","No","6/18/2021","$1,000.00","All","All","Yes","No","All","Not Required","","","","","","",""
"Solomon Law Group","Scholarship ","The Solomon Law Group","Solomon","Scholarship","","solomonlawfirmsc@gmail.com","https://solomonlawsc.com/scholarship/","","No","7/17/2021","$1,000.00","All","All","Yes","No","All","Not Required","","","","","","",""
"Spirit of Giving Scholarship","Scholarship ","Wine Country","Wine-Country","Scholarship","","scholarship@winecountrygiftbaskets.com","https://www.winecountrygiftbaskets.com/information/scholarship.asp","","No","7/31/2021","$1,000.00","All","All","Yes","No","All","Not Required","","","","","","",""
"Students With A Heart Foundation Scholarship","Scholarship ","Students With Heart Foundation ","Michael","Gross","","michael.gross@studentswithheart.org","http://www.studentswithheart.org/scholarships.html","","No","10/1/2020","$6,000.00","All","All","Yes","No","All","3.0+","","","","","","",""
"Surfers Enviromental Alliance Scholarship","Scholarship ","Surfers Environmental Alliance","Richard","Lee","","rlee@seasurfer.org","https://www.seasurfer.org/sea-scholarships#:~:text=SEA%20Scholarships,to%20the%20sport%20of%20surfing.&text=We%20are%20proud%20to%20announce,the%202020%20%E2%80%93%202021%20academic%20year.","","No","5/15/2021","$3,500.00","All","All","Yes","Yes","STEM Non Pre-Med","Not Required","","","","","","",""
"Sutliff & Stout Annual Schlolarship Contest","Scholarship ","Sutliff & Stout ","Sutliff","Scholarship","","gsutliff@sutliffstout.com","https://www.sutliffstout.com/scholarship/","","No","7/31/2021","$1,500.00","All","All","Yes","No","All","Not Required","","","","","","",""
"Syngenta Agricultural Scholarship","Scholarship ","Syngenta ","Syngenta","Scholarship","","info@syngenta.com","https://www.syngenta-us.com/scholarships/","","No","1/15/2021","$6,000.00","All","All","Yes","No","Agriculture","Not Required","","","","","","",""
"Taco Bell Live Más Scholarship ","Scholarship ","Taco Bell ","Taco-Bell","Scholarship","","tacobellfoundation@tacobell.com","http://www.tacobellfoundation.org/live-mas-scholarship/eligibilityfaq/","","No","1/23/2021","$25,000.00","All","All","No","No","All ","Not Required","","","","","","",""
"Taiwanese American Scholarship","Scholarship ","Asian Pacific Community Fund","K","Fan","","kfan@apcf.org","https://tascholarshipfund.org/2020-tasf-scholarship-overview/","","No","4/17/2021","$5,000.00","All","Asian","No","Yes","All","3.0+","","","","","","",""
"Technical Women's Organization Scholarship","Scholarship ","Technical Women's Organization ","Technical-Women","Scholarship","","info@technicalwomen.org","https://www.technicalwomen.org/scholorship/","","No","6/12/2021","$1,000.00","Female","All","No","Yes","Social Sciences","Not Required","","","","","","",""
"Technology Addiction Awareness","Scholarship ","Digital Responsibility ","Digital-Responsibility","Scholarship","","scholarship@digitalresponsibility.org","http://www.digitalresponsibility.org/technology-addiction-awareness-scholarship","","No","1/30/2021","$1,000.00","All","All","Yes","No","All","Not Required","","","","","","",""
